ageGroup,ageGroupIdFk,athleteCountryCode,athleteIdFk,bestRecord,bibNumber,combinedEventScoreCalculated,firstName,gender,groupNo,imgVariants,initialPb,initialPbImperial,initialSb,initialSbImperial,laneRow,laneStacked,lastName,position,price,promotion,relayTeamNational,s3ImgUuid,seImplementIdFk,seedingPromotion,startStatus,eventIdFk,event,nameAndEvent
Senior,23,JAM,51153,None,,,Shelly-Ann,Female,0,1,106000,106000,106700,106700,1,,Fraser-Pryce,23,$6480000,N,,51153_1656580512602,153,N,Ok,1,100m,Shelly-Ann Fraser-Pryce (100m)
Senior,23,MAR,22371,None,,,Moad,Male,0,,1036900,1036900,1036900,1036900,1,,Zahafi,36,$6470000,N,,,25,N,Ok,20,800m,Moad Zahafi (800m)
Senior,23,ALG,45219,None,,,Djamel,Male,0,,1036900,1036900,1036900,1036900,1,,Sedjati,3,$6470000,N,,,25,N,Ok,20,800m,Djamel Sedjati (800m)
Senior,23,ETH,13632,None,,,Mosinet,Male,0,,73750000,73750000,74830000,74830000,1,,Geremew,26,$6450000,N,,,30,N,Ok,25,Marathon,Mosinet Geremew (Marathon)
Senior,23,USA,22697,None,,,Keira,Female,0,,83520000,83520000,83520000,83520000,1,,D'amato,46,$6440000,N,,,178,N,Ok,25,Marathon,Keira D'amato (Marathon)
Senior,23,USA,84892,None,,,Abby,Female,0,,217700,217700,217700,217700,1,,Steiner,50,$6430000,N,,,154,N,Ok,2,200m,Abby Steiner (200m)
Senior,23,NOR,4562,None,,,Jakob,Male,0,1,2083200,2083200,2106000,2106000,1,,Ingebrigtsen,34,$6430000,N,,4562_1624521734026,26,N,Ok,21,1500m,Jakob Ingebrigtsen (1500m)
Senior,23,FRA,7594,None,,,Benjamin,Male,0,,1037500,1037500,1037500,1037500,1,,Robert,19,$6400000,N,,,25,N,Ok,20,800m,Benjamin Robert (800m)
Senior,23,POL,996,None,,,Paweł,Male,0,1,8393,330425,8056,317150,1,,Fajdek,24,$6390000,N,,996_1625476083874,54,N,Ok,51,Hammer Throw,Paweł Fajdek (Hammer Throw)
Senior,23,ETH,634,None,,,Gudaf,Female,0,1,2330900,2330900,2342100,2342100,1,,Tsegay,15,$6390000,N,,634_1581714352087,174,N,Ok,21,1500m,Gudaf Tsegay (1500m)
